State,Age,Gender,Price
AL,18,F,190.57
AL,19,F,196.94
AL,20,F,203.31
AL,21,F,209.68
AL,22,F,216.05
AL,23,F,222.42
AL,24,F,228.79
AL,25,F,235.16
AL,26,F,237.03
AL,27,F,238.91
AL,28,F,240.78
AL,29,F,242.65
AL,30,F,244.52
AL,31,F,246.40
AL,32,F,248.27
AL,33,F,250.14
AL,34,F,252.02
AL,35,F,253.89
AL,36,F,259.58
AL,37,F,265.27
AL,38,F,270.96
AL,39,F,276.65
AL,40,F,282.34
AL,41,F,288.02
AL,42,F,293.71
AL,43,F,299.40
AL,44,F,305.09
AL,45,F,310.78
AL,46,F,322.39
AL,47,F,334.00
AL,48,F,345.62
AL,49,F,357.23
AL,50,F,368.84
AL,51,F,380.45
AL,52,F,392.06
AL,53,F,403.68
AL,54,F,415.29
AL,55,F,426.90
AL,56,F,438.28
AL,57,F,449.65
AL,58,F,461.03
AL,59,F,472.41
AL,60,F,483.78
AL,61,F,495.16
AL,62,F,506.54
AL,63,F,517.91
AL,64,F,529.29
AL,18,M,158.82
AL,19,M,158.82
AL,20,M,158.82
AL,21,M,158.82
AL,22,M,158.82
AL,23,M,158.82
AL,24,M,158.82
AL,25,M,158.82
AL,26,M,162.76
AL,27,M,166.70
AL,28,M,170.65
AL,29,M,174.59
AL,30,M,178.53
AL,31,M,182.47
AL,32,M,186.41
AL,33,M,190.36
AL,34,M,194.30
AL,35,M,198.24
AL,36,M,209.71
AL,37,M,221.17
AL,38,M,232.64
AL,39,M,244.11
AL,40,M,255.58
AL,41,M,267.04
AL,42,M,278.51
AL,43,M,289.98
AL,44,M,301.44
AL,45,M,312.91
AL,46,M,334.28
AL,47,M,355.65
AL,48,M,377.02
AL,49,M,398.39
AL,50,M,419.76
AL,51,M,441.12
AL,52,M,462.49
AL,53,M,483.86
AL,54,M,505.23
AL,55,M,526.60
AL,56,M,545.55
AL,57,M,564.50
AL,58,M,583.45
AL,59,M,602.40
AL,60,M,621.34
AL,61,M,640.29
AL,62,M,659.24
AL,63,M,678.19
AL,64,M,697.14
AR,18,F,190.57
AR,19,F,196.94
AR,20,F,203.31
AR,21,F,209.68
AR,22,F,216.05
AR,23,F,222.42
AR,24,F,228.79
AR,25,F,235.16
AR,26,F,237.03
AR,27,F,238.91
AR,28,F,240.78
AR,29,F,242.65
AR,30,F,244.52
AR,31,F,246.40
AR,32,F,248.27
AR,33,F,250.14
AR,34,F,252.02
AR,35,F,253.89
AR,36,F,259.58
AR,37,F,265.27
AR,38,F,270.96
AR,39,F,276.65
AR,40,F,282.34
AR,41,F,288.02
AR,42,F,293.71
AR,43,F,299.40
AR,44,F,305.09
AR,45,F,310.78
AR,46,F,322.39
AR,47,F,334.00
AR,48,F,345.62
AR,49,F,357.23
AR,50,F,368.84
AR,51,F,380.45
AR,52,F,392.06
AR,53,F,403.68
AR,54,F,415.29
AR,55,F,426.90
AR,56,F,438.28
AR,57,F,449.65
AR,58,F,461.03
AR,59,F,472.41
AR,60,F,483.78
AR,61,F,495.16
AR,62,F,506.54
AR,63,F,517.91
AR,64,F,529.29
AR,18,M,158.82
AR,19,M,158.82
AR,20,M,158.82
AR,21,M,158.82
AR,22,M,158.82
AR,23,M,158.82
AR,24,M,158.82
AR,25,M,158.82
AR,26,M,162.76
AR,27,M,166.70
AR,28,M,170.65
AR,29,M,174.59
AR,30,M,178.53
AR,31,M,182.47
AR,32,M,186.41
AR,33,M,190.36
AR,34,M,194.30
AR,35,M,198.24
AR,36,M,209.71
AR,37,M,221.17
AR,38,M,232.64
AR,39,M,244.11
AR,40,M,255.58
AR,41,M,267.04
AR,42,M,278.51
AR,43,M,289.98
AR,44,M,301.44
AR,45,M,312.91
AR,46,M,334.28
AR,47,M,355.65
AR,48,M,377.02
AR,49,M,398.39
